,euler_T,euler_U, euler_E,leapfrog_T,leapfrog_U, leapfrog_E,rk4_T,rk4_U, rk4_E
0.000000,0.000000e+00,1.080628e+00,1.080628e+00,0.000000e+00,1.080628e+00,1.080628e+00,0.000000e+00,1.080628e+00,1.080628e+00
0.010000,1.082656e-04,1.080628e+00,1.080736e+00,1.082656e-04,1.080628e+00,1.080736e+00,1.154871e-04,1.080628e+00,1.080743e+00
0.020000,4.326211e-04,1.080412e+00,1.080845e+00,4.321800e-04,1.080196e+00,1.080628e+00,4.614779e-04,1.080404e+00,1.080865e+00
0.030000,9.723408e-04,1.079981e+00,1.080953e+00,9.714868e-04,1.079766e+00,1.080737e+00,1.037198e-03,1.079956e+00,1.080993e+00
0.040000,1.726614e-03,1.079335e+00,1.081061e+00,1.724511e-03,1.078905e+00,1.080629e+00,1.841784e-03,1.079286e+00,1.081127e+00
0.050000,2.694547e-03,1.078474e+00,1.081168e+00,2.691280e-03,1.078045e+00,1.080737e+00,2.874279e-03,1.078392e+00,1.081266e+00
0.060000,3.875162e-03,1.077399e+00,1.081274e+00,3.869673e-03,1.076756e+00,1.080626e+00,4.133640e-03,1.077276e+00,1.081410e+00
0.070000,5.267397e-03,1.076111e+00,1.081378e+00,5.259657e-03,1.075471e+00,1.080730e+00,5.618733e-03,1.075939e+00,1.081558e+00
0.080000,6.870108e-03,1.074610e+00,1.081480e+00,6.859017e-03,1.073757e+00,1.080616e+00,7.328336e-03,1.074381e+00,1.081710e+00
0.090000,8.682071e-03,1.072897e+00,1.081579e+00,8.667314e-03,1.072047e+00,1.080715e+00,9.261140e-03,1.072604e+00,1.081865e+00
0.100000,1.070198e-02,1.070973e+00,1.081675e+00,1.068259e-02,1.069912e+00,1.080594e+00,1.141575e-02,1.070607e+00,1.082022e+00
0.110000,1.292844e-02,1.068839e+00,1.081767e+00,1.290365e-02,1.067783e+00,1.080687e+00,1.379068e-02,1.068392e+00,1.082183e+00
0.120000,1.536000e-02,1.066495e+00,1.081855e+00,1.532913e-02,1.065230e+00,1.080559e+00,1.638436e-02,1.065960e+00,1.082345e+00
0.130000,1.799510e-02,1.063944e+00,1.081939e+00,1.795677e-02,1.062686e+00,1.080642e+00,1.919514e-02,1.063313e+00,1.082508e+00
0.140000,2.083212e-02,1.061186e+00,1.082018e+00,2.078615e-02,1.059720e+00,1.080507e+00,2.222129e-02,1.060451e+00,1.082672e+00
0.150000,2.386936e-02,1.058223e+00,1.082092e+00,2.381356e-02,1.056765e+00,1.080579e+00,2.546097e-02,1.057376e+00,1.082837e+00
