time,rk4_theta,rk4_psi,rk4_w,rk4_v
0.000000,1.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00
0.010000,9.999000e-02,9.999667e-06,-1.999900e-03,1.999867e-03
0.020000,9.996000e-02,2.009666e-05,-3.999300e-03,3.999132e-03
0.030000,9.991002e-02,3.028994e-05,-5.997798e-03,5.997395e-03
0.040000,9.984005e-02,4.057847e-05,-7.994994e-03,7.994254e-03
0.050000,9.975012e-02,5.096120e-05,-9.990488e-03,9.989307e-03
0.060000,9.964025e-02,6.143704e-05,-1.198388e-02,1.198215e-02
0.070000,9.951045e-02,7.200495e-05,-1.397477e-02,1.397239e-02
0.080000,9.936076e-02,8.266383e-05,-1.596276e-02,1.595962e-02
0.090000,9.919121e-02,9.341260e-05,-1.794745e-02,1.794345e-02
0.100000,9.900183e-02,1.042502e-04,-1.992844e-02,1.992347e-02
0.110000,9.879265e-02,1.151754e-04,-2.190534e-02,2.189928e-02
0.120000,9.856374e-02,1.261872e-04,-2.387774e-02,2.387050e-02
0.130000,9.831512e-02,1.372845e-04,-2.584526e-02,2.583672e-02
0.140000,9.804685e-02,1.484662e-04,-2.780750e-02,2.779755e-02
0.150000,9.775898e-02,1.597310e-04,-2.976407e-02,2.975259e-02
0.160000,9.745159e-02,1.710780e-04,-3.171457e-02,3.170145e-02
0.170000,9.712472e-02,1.825059e-04,-3.365861e-02,3.364374e-02
0.180000,9.677844e-02,1.940135e-04,-3.559581e-02,3.557907e-02
0.190000,9.641282e-02,2.055999e-04,-3.752577e-02,3.750706e-02
0.200000,9.602795e-02,2.172637e-04,-3.944811e-02,3.942730e-02
0.210000,9.562389e-02,2.290038e-04,-4.136245e-02,4.133942e-02
0.220000,9.520073e-02,2.408192e-04,-4.326839e-02,4.324303e-02
0.230000,9.475855e-02,2.527085e-04,-4.516557e-02,4.513775e-02
0.240000,9.429745e-02,2.646708e-04,-4.705359e-02,4.702320e-02
0.250000,9.381751e-02,2.767047e-04,-4.893208e-02,4.889900e-02
0.260000,9.331884e-02,2.888091e-04,-5.080066e-02,5.076477e-02
0.270000,9.280153e-02,3.009828e-04,-5.265896e-02,5.262014e-02
0.280000,9.226569e-02,3.132247e-04,-5.450661e-02,5.446473e-02
0.290000,9.171143e-02,3.255337e-04,-5.634323e-02,5.629817e-02
0.300000,9.113887e-02,3.379084e-04,-5.816846e-02,5.812010e-02
0.310000,9.054810e-02,3.503478e-04,-5.998194e-02,5.993015e-02
0.320000,8.993927e-02,3.628506e-04,-6.178329e-02,6.172795e-02
0.330000,8.931248e-02,3.754157e-04,-6.357216e-02,6.351315e-02
0.340000,8.866787e-02,3.880420e-04,-6.534819e-02,6.528537e-02
0.350000,8.800556e-02,4.007282e-04,-6.711102e-02,6.704428e-02
0.360000,8.732569e-02,4.134732e-04,-6.886031e-02,6.878951e-02
0.370000,8.662840e-02,4.262757e-04,-7.059569e-02,7.052071e-02
0.380000,8.591383e-02,4.391347e-04,-7.231683e-02,7.223753e-02
0.390000,8.518211e-02,4.520490e-04,-7.402338e-02,7.393964e-02
0.400000,8.443341e-02,4.650174e-04,-7.571499e-02,7.562668e-02
0.410000,8.366786e-02,4.780387e-04,-7.739133e-02,7.729832e-02
0.420000,8.288563e-02,4.911119e-04,-7.905206e-02,7.895422e-02
0.430000,8.208688e-02,5.042357e-04,-8.069685e-02,8.059404e-02
0.440000,8.127175e-02,5.174089e-04,-8.232537e-02,8.221747e-02
0.450000,8.044042e-02,5.306306e-04,-8.393729e-02,8.382416e-02
0.460000,7.959306e-02,5.438994e-04,-8.553229e-02,8.541380e-02
0.470000,7.872984e-02,5.572144e-04,-8.711006e-02,8.698607e-02
0.480000,7.785092e-02,5.705743e-04,-8.867026e-02,8.854066e-02
0.490000,7.695649e-02,5.839781e-04,-9.021260e-02,9.007724e-02
0.500000,7.604673e-02,5.974246e-04,-9.173677e-02,9.159550e-02
0.510000,7.512182e-02,6.109128e-04,-9.324245e-02,9.309516e-02
0.520000,7.418194e-02,6.244414e-04,-9.472935e-02,9.457589e-02
0.530000,7.322729e-02,6.380096e-04,-9.619716e-02,9.603741e-02
0.540000,7.225806e-02,6.516161e-04,-9.764560e-02,9.747941e-02
0.550000,7.127445e-02,6.652599e-04,-9.907438e-02,9.890162e-02
0.560000,7.027664e-02,6.789399e-04,-1.004832e-01,1.003037e-01
0.570000,6.926485e-02,6.926551e-04,-1.018718e-01,1.016855e-01
0.580000,6.823927e-02,7.064045e-04,-1.032399e-01,1.030466e-01
0.590000,6.720012e-02,7.201869e-04,-1.045872e-01,1.043867e-01
0.600000,6.614760e-02,7.340015e-04,-1.059134e-01,1.057057e-01
0.610000,6.508192e-02,7.478471e-04,-1.072183e-01,1.070032e-01
0.620000,6.400331e-02,7.617228e-04,-1.085017e-01,1.082790e-01
0.630000,6.291196e-02,7.756275e-04,-1.097632e-01,1.095329e-01
0.640000,6.180812e-02,7.895604e-04,-1.110026e-01,1.107645e-01
0.650000,6.069199e-02,8.035204e-04,-1.122196e-01,1.119736e-01
0.660000,5.956380e-02,8.175065e-04,-1.134141e-01,1.131600e-01
0.670000,5.842378e-02,8.315180e-04,-1.145858e-01,1.143234e-01
0.680000,5.727216e-02,8.455537e-04,-1.157344e-01,1.154636e-01
0.690000,5.610917e-02,8.596128e-04,-1.168597e-01,1.165804e-01
0.700000,5.493504e-02,8.736945e-04,-1.179615e-01,1.176735e-01
0.710000,5.375002e-02,8.877978e-04,-1.190396e-01,1.187428e-01
0.720000,5.255433e-02,9.019218e-04,-1.200937e-01,1.197880e-01
0.730000,5.134823e-02,9.160658e-04,-1.211237e-01,1.208089e-01
0.740000,5.013194e-02,9.302288e-04,-1.221292e-01,1.218053e-01
0.750000,4.890572e-02,9.444101e-04,-1.231103e-01,1.227769e-01
0.760000,4.766982e-02,9.586088e-04,-1.240665e-01,1.237237e-01
0.770000,4.642448e-02,9.728242e-04,-1.249978e-01,1.246453e-01
0.780000,4.516995e-02,9.870555e-04,-1.259040e-01,1.255417e-01
0.790000,4.390648e-02,1.001302e-03,-1.267849e-01,1.264126e-01
0.800000,4.263433e-02,1.015563e-03,-1.276402e-01,1.272579e-01
0.810000,4.135376e-02,1.029837e-03,-1.284699e-01,1.280773e-01
0.820000,4.006502e-02,1.044125e-03,-1.292737e-01,1.288708e-01
0.830000,3.876837e-02,1.058424e-03,-1.300516e-01,1.296382e-01
0.840000,3.746408e-02,1.072736e-03,-1.308032e-01,1.303792e-01
0.850000,3.615240e-02,1.087058e-03,-1.315286e-01,1.310938e-01
0.860000,3.483359e-02,1.101391e-03,-1.322276e-01,1.317818e-01
0.870000,3.350793e-02,1.115734e-03,-1.328999e-01,1.324430e-01
0.880000,3.217568e-02,1.130085e-03,-1.335455e-01,1.330774e-01
0.890000,3.083711e-02,1.144446e-03,-1.341643e-01,1.336848e-01
0.900000,2.949249e-02,1.158814e-03,-1.347561e-01,1.342651e-01
0.910000,2.814208e-02,1.173190e-03,-1.353208e-01,1.348182e-01
0.920000,2.678616e-02,1.187574e-03,-1.358583e-01,1.353439e-01
0.930000,2.542501e-02,1.201963e-03,-1.363685e-01,1.358421e-01
0.940000,2.405888e-02,1.216359e-03,-1.368512e-01,1.363128e-01
0.950000,2.268807e-02,1.230761e-03,-1.373065e-01,1.367558e-01
0.960000,2.131285e-02,1.245168e-03,-1.377341e-01,1.371710e-01
0.970000,1.993348e-02,1.259580e-03,-1.381341e-01,1.375585e-01
0.980000,1.855026e-02,1.273997e-03,-1.385062e-01,1.379180e-01
0.990000,1.716345e-02,1.288418e-03,-1.388506e-01,1.382495e-01
1.000000,1.577334e-02,1.302843e-03,-1.391670e-01,1.385530e-01
1.010000,1.438020e-02,1.317271e-03,-1.394554e-01,1.388283e-01
1.020000,1.298432e-02,1.331703e-03,-1.397158e-01,1.390755e-01
