time,euler_theta,euler_w,leapfrog_theta,leapfrog_w,rk4_theta,rk4_w
0.000000,5.000000e-01,0.000000e+00,5.000000e-01,0.000000e+00,5.000000e-01,0.000000e+00
0.005000,5.000000e-01,-2.500000e-03,5.000000e-01,-2.500000e-03,5.000000e-01,-2.511861e-03
0.010000,4.999875e-01,-4.998726e-03,4.999750e-01,-4.997452e-03,4.999874e-01,-5.022442e-03
0.015000,4.999625e-01,-7.496116e-03,4.999500e-01,-7.494656e-03,4.999622e-01,-7.531681e-03
0.020000,4.999250e-01,-9.992107e-03,4.999001e-01,-9.989312e-03,4.999245e-01,-1.003951e-02
0.025000,4.998751e-01,-1.248664e-02,4.998501e-01,-1.248347e-02,4.998742e-01,-1.254588e-02
0.030000,4.998126e-01,-1.497965e-02,4.997752e-01,-1.497509e-02,4.998113e-01,-1.505072e-02
0.035000,4.997377e-01,-1.747108e-02,4.997004e-01,-1.746596e-02,4.997358e-01,-1.755397e-02
0.040000,4.996504e-01,-1.996086e-02,4.996006e-01,-1.995429e-02,4.996478e-01,-2.005557e-02
0.045000,4.995506e-01,-2.244894e-02,4.995008e-01,-2.244163e-02,4.995473e-01,-2.255545e-02
0.050000,4.994383e-01,-2.493525e-02,4.993761e-01,-2.492642e-02,4.994343e-01,-2.505355e-02
0.055000,4.993137e-01,-2.741973e-02,4.992516e-01,-2.740998e-02,4.993087e-01,-2.754982e-02
0.060000,4.991766e-01,-2.990233e-02,4.991020e-01,-2.989099e-02,4.991706e-01,-3.004419e-02
0.065000,4.990270e-01,-3.238297e-02,4.989527e-01,-3.237053e-02,4.990200e-01,-3.253659e-02
0.070000,4.988651e-01,-3.486160e-02,4.987783e-01,-3.484752e-02,4.988569e-01,-3.502697e-02
0.075000,4.986908e-01,-3.733816e-02,4.986042e-01,-3.732279e-02,4.986813e-01,-3.751527e-02
0.080000,4.985041e-01,-3.981258e-02,4.984051e-01,-3.979552e-02,4.984933e-01,-4.000143e-02
0.085000,4.983051e-01,-4.228481e-02,4.982062e-01,-4.226627e-02,4.982928e-01,-4.248537e-02
0.090000,4.980936e-01,-4.475478e-02,4.979824e-01,-4.473450e-02,4.980798e-01,-4.496705e-02
0.095000,4.978699e-01,-4.722244e-02,4.977589e-01,-4.720050e-02,4.978544e-01,-4.744640e-02
0.100000,4.976338e-01,-4.968772e-02,4.975104e-01,-4.966397e-02,4.976166e-01,-4.992336e-02
0.105000,4.973853e-01,-5.215056e-02,4.972622e-01,-5.212498e-02,4.973663e-01,-5.239787e-02
0.110000,4.971246e-01,-5.461091e-02,4.969892e-01,-5.458346e-02,4.971037e-01,-5.486986e-02
0.115000,4.968515e-01,-5.706870e-02,4.967164e-01,-5.703923e-02,4.968287e-01,-5.733929e-02
0.120000,4.965662e-01,-5.952387e-02,4.964188e-01,-5.949248e-02,4.965412e-01,-5.980608e-02
0.125000,4.962685e-01,-6.197636e-02,4.961215e-01,-6.194277e-02,4.962415e-01,-6.227017e-02
0.130000,4.959587e-01,-6.442612e-02,4.957994e-01,-6.439055e-02,4.959293e-01,-6.473152e-02
0.135000,4.956365e-01,-6.687307e-02,4.954776e-01,-6.683513e-02,4.956049e-01,-6.719005e-02
0.140000,4.953022e-01,-6.931717e-02,4.951310e-01,-6.927720e-02,4.952681e-01,-6.964570e-02
0.145000,4.949556e-01,-7.175835e-02,4.947848e-01,-7.171582e-02,4.949190e-01,-7.209842e-02
0.150000,4.945968e-01,-7.419656e-02,4.944139e-01,-7.415194e-02,4.945576e-01,-7.454814e-02
0.155000,4.942258e-01,-7.663172e-02,4.940433e-01,-7.658437e-02,4.941839e-01,-7.699481e-02
0.160000,4.938427e-01,-7.906379e-02,4.936480e-01,-7.901431e-02,4.937980e-01,-7.943837e-02
0.165000,4.934473e-01,-8.149271e-02,4.932531e-01,-8.144030e-02,4.933998e-01,-8.187875e-02
0.170000,4.930399e-01,-8.391841e-02,4.928336e-01,-8.386382e-02,4.929894e-01,-8.431589e-02
0.175000,4.926203e-01,-8.634084e-02,4.924145e-01,-8.628315e-02,4.925667e-01,-8.674975e-02
0.180000,4.921886e-01,-8.875993e-02,4.919708e-01,-8.870001e-02,4.921319e-01,-8.918025e-02
0.185000,4.917448e-01,-9.117564e-02,4.915275e-01,-9.111244e-02,4.916849e-01,-9.160734e-02
0.190000,4.912889e-01,-9.358789e-02,4.910597e-01,-9.352241e-02,4.912257e-01,-9.403095e-02
0.195000,4.908210e-01,-9.599663e-02,4.905923e-01,-9.592770e-02,4.907544e-01,-9.645104e-02
0.200000,4.903410e-01,-9.840181e-02,4.901004e-01,-9.833055e-02,4.902709e-01,-9.886754e-02
0.205000,4.898490e-01,-1.008034e-01,4.896090e-01,-1.007285e-01,4.897753e-01,-1.012804e-01
0.210000,4.893449e-01,-1.032012e-01,4.890931e-01,-1.031240e-01,4.892676e-01,-1.036895e-01
0.215000,4.888289e-01,-1.055954e-01,4.885777e-01,-1.055143e-01,4.887479e-01,-1.060949e-01
0.220000,4.883010e-01,-1.079857e-01,4.880380e-01,-1.079022e-01,4.882161e-01,-1.084965e-01
0.225000,4.877610e-01,-1.103721e-01,4.874987e-01,-1.102847e-01,4.876723e-01,-1.108941e-01
0.230000,4.872092e-01,-1.127547e-01,4.869351e-01,-1.126647e-01,4.871164e-01,-1.132879e-01
0.235000,4.866454e-01,-1.151333e-01,4.863721e-01,-1.150392e-01,4.865485e-01,-1.156776e-01
0.240000,4.860697e-01,-1.175078e-01,4.857847e-01,-1.174112e-01,4.859687e-01,-1.180633e-01
0.245000,4.854822e-01,-1.198783e-01,4.851980e-01,-1.197773e-01,4.853769e-01,-1.204448e-01
0.250000,4.848828e-01,-1.222446e-01,4.845869e-01,-1.221411e-01,4.847732e-01,-1.228222e-01
0.255000,4.842716e-01,-1.246067e-01,4.839766e-01,-1.244987e-01,4.841575e-01,-1.251954e-01
0.260000,4.836485e-01,-1.269645e-01,4.833420e-01,-1.268539e-01,4.835300e-01,-1.275643e-01
0.265000,4.830137e-01,-1.293181e-01,4.827080e-01,-1.292028e-01,4.828906e-01,-1.299288e-01
0.270000,4.823671e-01,-1.316672e-01,4.820499e-01,-1.315493e-01,4.822393e-01,-1.322889e-01
0.275000,4.817088e-01,-1.340120e-01,4.813925e-01,-1.338892e-01,4.815762e-01,-1.346446e-01
0.280000,4.810387e-01,-1.363522e-01,4.807110e-01,-1.362268e-01,4.809013e-01,-1.369958e-01
0.285000,4.803570e-01,-1.386879e-01,4.800303e-01,-1.385575e-01,4.802146e-01,-1.393423e-01
0.290000,4.796635e-01,-1.410190e-01,4.793255e-01,-1.408858e-01,4.795161e-01,-1.416843e-01
0.295000,4.789584e-01,-1.433454e-01,4.786214e-01,-1.432071e-01,4.788059e-01,-1.440216e-01
0.300000,4.782417e-01,-1.456672e-01,4.778934e-01,-1.455260e-01,4.780840e-01,-1.463541e-01
0.305000,4.775134e-01,-1.479841e-01,4.771661e-01,-1.478377e-01,4.773504e-01,-1.486818e-01
0.310000,4.767735e-01,-1.502963e-01,4.764150e-01,-1.501470e-01,4.766052e-01,-1.510047e-01
0.315000,4.760220e-01,-1.526035e-01,4.756647e-01,-1.524488e-01,4.758482e-01,-1.533227e-01
0.320000,4.752590e-01,-1.549059e-01,4.748905e-01,-1.547483e-01,4.750797e-01,-1.556357e-01
0.325000,4.744844e-01,-1.572032e-01,4.741172e-01,-1.570399e-01,4.742996e-01,-1.579437e-01
0.330000,4.736984e-01,-1.594955e-01,4.733201e-01,-1.593293e-01,4.735079e-01,-1.602466e-01
0.335000,4.729009e-01,-1.617827e-01,4.725239e-01,-1.616107e-01,4.727046e-01,-1.625444e-01
0.340000,4.720920e-01,-1.640648e-01,4.717040e-01,-1.638898e-01,4.718899e-01,-1.648370e-01
0.345000,4.712717e-01,-1.663416e-01,4.708850e-01,-1.661607e-01,4.710636e-01,-1.671243e-01
0.350000,4.704400e-01,-1.686132e-01,4.700424e-01,-1.684293e-01,4.702259e-01,-1.694064e-01
0.355000,4.695969e-01,-1.708794e-01,4.692007e-01,-1.706894e-01,4.693768e-01,-1.716831e-01
0.360000,4.687425e-01,-1.731403e-01,4.683355e-01,-1.729473e-01,4.685162e-01,-1.739544e-01
0.365000,4.678768e-01,-1.753958e-01,4.674712e-01,-1.751965e-01,4.676443e-01,-1.762202e-01
0.370000,4.669998e-01,-1.776458e-01,4.665836e-01,-1.774434e-01,4.667609e-01,-1.784805e-01
0.375000,4.661116e-01,-1.798902e-01,4.656968e-01,-1.796814e-01,4.658663e-01,-1.807353e-01
0.380000,4.652122e-01,-1.821291e-01,4.647867e-01,-1.819173e-01,4.649604e-01,-1.829845e-01
0.385000,4.643015e-01,-1.843623e-01,4.638776e-01,-1.841439e-01,4.640432e-01,-1.852279e-01
0.390000,4.633797e-01,-1.865899e-01,4.629453e-01,-1.863683e-01,4.631147e-01,-1.874657e-01
